Timestamp,SourceIP,DestinationIP,Protocol,PacketLength,InfoPacket,Signature
2023-11-24 09:55:27.672488,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:45399 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.685270,172.16.1.134,172.16.1.135,smb2,254,172.16.1.134:45399 -> 172.16.1.135:445 smb2 Length=254,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.686172,172.16.1.135,172.16.1.134,smb2,143,172.16.1.135:445 -> 172.16.1.134:45399 smb2 Length=143,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.686173,172.16.1.135,172.16.1.134,tcp,74,172.16.1.135:43946 -> 172.16.1.134:4444 tcp Length=74,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.692389,172.16.1.134,172.16.1.135,tcp,74,172.16.1.134:4444 -> 172.16.1.135:43946 tcp Length=74,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.692390,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:43946 -> 172.16.1.134:4444 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.713278,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:45399 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.713279,172.16.1.134,172.16.1.135,data,104,172.16.1.134:4444 -> 172.16.1.135:43946 data Length=104,172.16.1.134_172.16.1.135/data/Detect
2023-11-24 09:55:27.713279,172.16.1.134,172.16.1.135,tcp,74,172.16.1.134:34577 -> 172.16.1.135:445 tcp Length=74,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.713451,172.16.1.135,172.16.1.134,tcp,74,172.16.1.135:445 -> 172.16.1.134:34577 tcp Length=74,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.713452,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:34577 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.716771,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:43946 -> 172.16.1.134:4444 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.718338,172.16.1.134,172.16.1.135,smb,139,172.16.1.134:34577 -> 172.16.1.135:445 smb Length=139,172.16.1.134_172.16.1.135/smb/Detect
2023-11-24 09:55:27.718340,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:34577 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.721445,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:34577 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.728430,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:34577 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.741727,172.16.1.134,172.16.1.135,smb2,278,172.16.1.134:34577 -> 172.16.1.135:445 smb2 Length=278,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.742140,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:34577 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.746151,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:45399 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.749765,172.16.1.134,172.16.1.135,ntlmssp,236,172.16.1.134:34577 -> 172.16.1.135:445 ntlmssp Length=236,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:55:27.750566,172.16.1.135,172.16.1.134,ntlmssp,279,172.16.1.135:445 -> 172.16.1.134:34577 ntlmssp Length=279,172.16.1.135_172.16.1.134/ntlmssp/Detect
2023-11-24 09:55:27.761789,172.16.1.134,172.16.1.135,ntlmssp,272,172.16.1.134:34577 -> 172.16.1.135:445 ntlmssp Length=272,172.16.1.134_172.16.1.135/ntlmssp/Detect
2023-11-24 09:55:27.762694,172.16.1.135,172.16.1.134,spnego,151,172.16.1.135:445 -> 172.16.1.134:34577 spnego Length=151,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.773084,172.16.1.134,172.16.1.135,smb2,180,172.16.1.134:34577 -> 172.16.1.135:445 smb2 Length=180,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.773718,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:34577 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.785513,172.16.1.134,172.16.1.135,smb2,180,172.16.1.134:34577 -> 172.16.1.135:445 smb2 Length=180,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.786028,172.16.1.135,172.16.1.134,smb2,150,172.16.1.135:445 -> 172.16.1.134:34577 smb2 Length=150,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.802851,172.16.1.134,172.16.1.135,smb2,214,172.16.1.134:34577 -> 172.16.1.135:445 smb2 Length=214,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.804138,172.16.1.135,172.16.1.134,smb2,222,172.16.1.135:445 -> 172.16.1.134:34577 smb2 Length=222,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.815801,172.16.1.134,172.16.1.135,smb2,167,172.16.1.134:34577 -> 172.16.1.135:445 smb2 Length=167,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.815970,172.16.1.135,172.16.1.134,smb2,136,172.16.1.135:445 -> 172.16.1.134:34577 smb2 Length=136,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.826083,172.16.1.134,172.16.1.135,smb2,158,172.16.1.134:34577 -> 172.16.1.135:445 smb2 Length=158,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.826858,172.16.1.135,172.16.1.134,smb2,194,172.16.1.135:445 -> 172.16.1.134:34577 smb2 Length=194,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.840362,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:34577 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.843601,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:34577 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.843634,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:34577 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:28.714968,172.16.1.134,172.16.1.135,data,82,172.16.1.134:4444 -> 172.16.1.135:43946 data Length=82,172.16.1.134_172.16.1.135/data/Non-Detect
2023-11-24 09:55:28.714969,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:43946 -> 172.16.1.134:4444 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:28.716398,172.16.1.135,172.16.1.134,data,77,172.16.1.135:43946 -> 172.16.1.134:4444 data Length=77,172.16.1.135_172.16.1.134/data/Non-Detect
2023-11-24 09:55:28.716399,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:4444 -> 172.16.1.135:43946 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:33.944309,172.16.1.134,172.16.1.135,data,67,172.16.1.134:4444 -> 172.16.1.135:43946 data Length=67,172.16.1.134_172.16.1.135/data/Non-Detect
2023-11-24 09:55:33.982225,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:43946 -> 172.16.1.134:4444 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:56:51.987715,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53236 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:52.000643,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53239 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:52.999633,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53236 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:53.015275,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53239 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:54.004961,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53236 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:54.020150,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53239 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:55.007099,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53236 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
2023-11-24 09:56:55.022827,172.16.1.1,239.255.255.250,ssdp,217,172.16.1.1:53239 -> 239.255.255.250:1900 ssdp Length=217,172.16.1.1_239.255.255.250/ssdp/Detect
